,movie_id,title,positive_probability,result
0,tt4154796,Avengers: Endgame,0.7701709270477295,Positive
1,tt1298650,Pirates of the Caribbean: On Stranger Tides,0.9770141243934631,Positive
2,tt2395427,Avengers: Age of Ultron,0.861668586730957,Positive
3,tt4154756,Avengers: Infinity War,0.1550462245941162,Negative
4,tt0449088,Pirates of the Caribbean: At World's End,0.8765864372253418,Positive
5,tt0974015,Justice League,0.7421349287033081,Positive
6,tt2379713,Spectre,0.7444203495979309,Positive
7,tt3778644,Solo: A Star Wars Story,0.9000870585441589,Positive
8,tt0401729,John Carter,0.9802296161651611,Positive
9,tt2975590,Batman v Superman: Dawn of Justice,0.07745388895273209,Negative
10,tt6105098,The Lion King,0.9667772054672241,Positive
11,tt0398286,Tangled,0.9521856307983398,Positive
12,tt0413300,Spider-Man 3,0.9849272966384888,Positive
13,tt3498820,Captain America: Civil War,0.33852094411849976,Negative
14,tt0417741,Harry Potter and the Half-Blood Prince,0.9320546984672546,Positive
15,tt1170358,The Hobbit: The Desolation of Smaug,0.26358357071876526,Negative
16,tt2310332,The Hobbit: The Battle of the Five Armies,0.9207689166069031,Positive
17,tt4630562,The Fate of the Furious,0.9301557540893555,Positive
18,tt2382320,No Time to Die,0.8501073122024536,Positive
19,tt0499549,Avatar,0.4529215693473816,Negative
20,tt0348150,Superman Returns,0.9932677745819092,Positive
21,tt1345836,The Dark Knight Rises,0.9585074782371521,Positive
22,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,0.6127709150314331,Positive
23,tt0830515,Quantum of Solace,0.08468442410230637,Negative
24,tt0848228,The Avengers,0.7461538910865784,Positive
25,tt0383574,Pirates of the Caribbean: Dead Man's Chest,0.9618187546730042,Positive
26,tt0770828,Man of Steel,0.9246902465820312,Positive
27,tt0499448,The Chronicles of Narnia: Prince Caspian,0.9248213768005371,Positive
28,tt1210819,The Lone Ranger,0.610488772392273,Positive
29,tt6723592,Tenet,0.993081271648407,Positive
30,tt0948470,The Amazing Spider-Man,0.9734358787536621,Positive
31,tt1440129,Battleship,0.13489429652690887,Negative
32,tt3371366,Transformers: The Last Knight,0.39587312936782837,Negative
33,tt0369610,Jurassic World,0.9024233222007751,Positive
34,tt1409024,Men in Black 3,0.9211400747299194,Positive
35,tt1055369,Transformers: Revenge of the Fallen,0.06693432480096817,Negative
36,tt2109248,Transformers: Age of Extinction,0.12994568049907684,Negative
37,tt0376994,X-Men: The Last Stand,0.6714872121810913,Positive
38,tt0955308,Robin Hood,0.9816516637802124,Positive
39,tt0360717,King Kong,0.09311842918395996,Negative
40,tt0385752,The Golden Compass,0.04126422479748726,Negative
41,tt1825683,Black Panther,0.8401870131492615,Positive
42,tt0120338,Titanic,0.9551130533218384,Positive
43,tt3606756,Incredibles 2,0.9787432551383972,Positive
44,tt3748528,Rogue One: A Star Wars Story,0.7829746603965759,Positive
45,tt2277860,Finding Dory,0.9842919111251831,Positive
46,tt1979376,Toy Story 4,0.9349238276481628,Positive
47,tt0435761,Toy Story 3,0.9719749093055725,Positive
48,tt1300854,Iron Man 3,0.9711604118347168,Positive
49,tt3896198,Guardians of the Galaxy Vol. 2,0.9520827531814575,Positive
50,tt0316654,Spider-Man 2,0.5978528261184692,Positive
51,tt1014759,Alice in Wonderland,0.2867014706134796,Negative
52,tt1074638,Skyfall,0.9271715879440308,Positive
53,tt0903624,The Hobbit: An Unexpected Journey,0.9638894200325012,Positive
54,tt1453405,Monsters University,0.9887843132019043,Positive
55,tt1623205,Oz the Great and Powerful,0.9769800901412964,Positive
56,tt1877832,X-Men: Days of Future Past,0.7957725524902344,Positive
57,tt1872181,The Amazing Spider-Man 2,0.9687239527702332,Positive
58,tt1216475,Cars 2,0.5478414297103882,Positive
