movie_id,title,release_year,release_date,runtime,mpa_rating,imdb_score,dvd_sales,blu_sales,total_sales,legs,share,inf_income_usa,theater_opening,theater_total,src,awards,poster,metascore,release_dvd,big_awards_num,awards_win_num,awards_nomin_num,reviews_users,reviews_critics,prd_mthd,budget,series_new,income_opening,votes,income_usa,income_int,income_ww,item_id,inv_exist,contract_year,inf,genre_action,genre_adventure,genre_drama,genre_sci-fi,genre_fantasy,genre_thriller,genre_animation,genre_family,genre_musical,genre_comedy,genre_romance,genre_mystery,genre_war,genre_western,genre_history,genre_sport,genre_horror,genre_crime,genre_music,genre_biography,genre_documentary,dvd_over_income,movie_down_sales,contract_price_inf,net_profit,studio,studio_score,price_class,contract_price,positive_probability,english,dvd,blu,cntry_USA,actor_A,actor_B,actor_C,director_A,director_B,director_C,APPROVED,G,NC-17,NOT RATED,PASSED,PG,PG-13,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y7
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011.0,40683.0,136.0,PG-13,6.6,35478573.0,58936309.0,94414882.0,2.673972705,23.0536677,276934662.0,4155.0,4164.0,based on theme park ride,3 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,45.0,18-10-2011,0.0,3.0,34.0,529.0,467.0,live action,379000000.0,1.0,90151958.0,460865.0,241063875.0,804600000.0,1045663875.0,,0.0,,1.1488020011293687,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147174988,,,,BUENA VISTA,6.0,1.0,650.0,0.9770141240000001,1,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2395427,Avengers: Age of Ultron,2015.0,42125.0,141.0,PG-13,7.3,33569045.0,55802159.0,89371204.0,2.399765811,32.71570206,496031246.0,4276.0,4276.0,based on comic/graphic novel,8 wins & 47 nominations.,https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,66.0,2/10/2015,0.0,8.0,55.0,1283.0,689.0,animation/live action,365000000.0,1.0,191271109.0,697604.0,459005868.0,944008095.0,1403013963.0,I-1048,1.0,2015.0,1.0806642803093751,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073134239,1042.255387,755.7743092999997,286.48107789999995,BUENA VISTA,6.0,1.0,650.0,0.861668587,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt4154756,Avengers: Infinity War,2018.0,43217.0,156.0,PG-13,8.5,23700665.0,77736363.0,101437028.0,2.634149275,33.13946589,678815482.0,4474.0,4474.0,based on comic/graphic novel,Nominated for 1 Oscar. Another 44 wins & 70 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,68.0,14-08-2018,1.0,44.0,114.0,4191.0,605.0,animation/live action,300000000.0,1.0,257698183.0,748996.0,678815482.0,1369544272.0,2048359754.0,I-1097,1.0,2018.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034914738,161.0,1000.0,-839.0,BUENA VISTA,6.0,10.0,920.0,0.155046225,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0449088,Pirates of the Caribbean: At World's End,2007.0,39227.0,167.0,PG-13,7.1,314040375.0,7640482.0,321680857.0,2.69687806,32.11686373,409712211.0,4362.0,4362.0,based on theme park ride,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,https://m.media-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,50.0,4/12/2007,1.0,20.0,64.0,1280.0,327.0,live action,300000000.0,1.0,114732820.0,572118.0,309420425.0,654000000.0,963420425.0,I-1007,1.0,2014.0,1.3241278787591348,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014930979,1019.2433990000001,767.8666982000003,251.3767009,BUENA VISTA,6.0,1.0,650.0,0.876586437,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0974015,Justice League,2017.0,43056.0,121.0,PG-13,6.4,19449630.0,40475432.0,59925062.0,2.440524623,34.91515631,232544520.0,4051.0,4051.0,based on comic/graphic novel,2 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BYWVhZjZkYTItOGIwYS00NmRkLWJlYjctMWM0ZjFmMDU4ZjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,45.0,13-03-2018,0.0,2.0,15.0,1963.0,494.0,live action,300000000.0,1.0,93842239.0,352866.0,229024295.0,426920914.0,655945209.0,I-1092,1.0,2017.0,1.0153705308862535,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084923872,375.43,745.33,-369.9,WB,6.0,1.0,650.0,0.7421349290000001,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2379713,Spectre,2015.0,42314.0,148.0,PG-13,6.8,12917812.0,24092452.0,37010264.0,2.841835638,22.74549977,216131343.0,3929.0,3929.0,based on fiction book/short story,Won 1 Oscar. Another 7 wins & 34 nominations.,https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,60.0,9/2/2016,1.0,7.0,41.0,1129.0,638.0,live action,300000000.0,1.0,70403148.0,365008.0,200074175.0,679546748.0,879620923.0,I-1062,1.0,2015.0,1.080256075028174,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064565114,472.1095653,755.7743092999997,-283.664744,Sony Pictures/Columbia,6.0,1.0,650.0,0.74442035,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt3778644,Solo: A Star Wars Story,2018.0,43245.0,135.0,PG-13,6.9,16048812.0,39496763.0,55545575.0,2.532175714,54.37282961,213767512.0,4381.0,4381.0,spin-off,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,https://m.media-amazon.com/images/M/MV5BOTM2NTI3NTc3Nl5BMl5BanBnXkFtZTgwNzM1OTQyNTM@._V1_SX300.jpg,62.0,14-09-2018,1.0,4.0,26.0,2442.0,538.0,animation/live action,275000000.0,1.0,84420489.0,259822.0,213767512.0,179383835.0,393151347.0,I-1099,1.0,2018.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075076011,144.0,730.0,-586.0,BUENA VISTA,6.0,1.0,650.0,0.9000870590000001,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0401729,John Carter,2012.0,40977.0,132.0,PG-13,6.6,24755272.0,16426306.0,41181578.0,2.4207496319999997,25.83604565,83613639.0,3749.0,3749.0,based on fiction book/short story,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,51.0,5/6/2012,0.0,2.0,10.0,873.0,481.0,live action,263700000.0,0.0,30180188.0,247277.0,73058679.0,209719421.0,282778100.0,,0.0,,1.1444723630987086,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338840947,,,,BUENA VISTA,6.0,1.0,650.0,0.9802296159999999,1,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2975590,Batman v Superman: Dawn of Justice,2016.0,42454.0,151.0,PG-13,6.5,22477700.0,57744481.0,80222181.0,1.9900335740000001,37.81444478,347928482.0,4242.0,4256.0,based on comic/graphic novel,14 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,44.0,19-07-2016,0.0,14.0,47.0,3639.0,804.0,live action,263000000.0,1.0,166007347.0,596317.0,330360194.0,543274725.0,873634919.0,I-1070,1.0,2016.0,1.0531791914373316,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068039977,828.377852,755.0192900000003,73.358562,WB,6.0,1.0,650.0,0.077453889,1,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0398286,Tangled,2010.0,40506.0,101.0,PG,7.7,179787688.0,65663692.0,245451380.0,4.117983921,34.24206812,231682049.0,3603.0,3603.0,based on folk tale/legend/fairytale,Nominated for 1 Oscar. Another 10 wins & 40 nominations.,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,71.0,29-03-2011,1.0,10.0,50.0,471.0,341.0,digital animation,260000000.0,0.0,48767052.0,381931.0,200821936.0,385655304.0,586477240.0,,0.0,,1.1536690344425322,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952592109999999,,,,BUENA VISTA,6.0,10.0,920.0,0.952185631,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
